"KingdomName","YearUpTo","RedListCategory","NumSpp","NumAssessWithinKingdom","NumAssessWithinRLcat","PropSppKingdomNoDD","PropSppKingdomWithDD","PropSppAllTaxaByCat"
"ANIMALIA",1996,"All Categories",2555,2555,2555,NA,1,1
"ANIMALIA",1996,"Near Threatened",0,2555,0,0,0,0
"ANIMALIA",1996,"Vulnerable",944,2555,944,0.470822942643392,0.369471624266145,1
"ANIMALIA",1996,"Endangered",253,2555,253,0.126184538653367,0.0990215264187867,1
"ANIMALIA",1996,"Least Concern",0,2555,0,0,0,0
"ANIMALIA",1996,"Data Deficient",550,2555,550,0.27431421446384,0.215264187866928,1
"ANIMALIA",1996,"Extinct",235,2555,235,0.117206982543641,0.0919765166340509,1
"ANIMALIA",1996,"Extinct in the Wild",7,2555,7,0.00349127182044888,0.00273972602739726,1
"ANIMALIA",1996,"Critically Endangered",254,2555,254,0.126683291770574,0.099412915851272,1
"ANIMALIA",1996,"Lower Risk/conservation dependent",24,2555,24,0.0119700748129676,0.00939334637964775,1
"ANIMALIA",1996,"Lower Risk/least concern",71,2555,71,0.0354114713216958,0.0277886497064579,1
"ANIMALIA",1996,"Lower Risk/near threatened",217,2555,217,0.108229426433915,0.0849315068493151,1
"ANIMALIA",1996,"All Threatened",1693,2555,1693,0.844389027431421,0.662622309197652,1
"ANIMALIA",1998,"All Categories",2555,2555,8431,NA,1,0.30304827422607
"ANIMALIA",1998,"Near Threatened",0,2555,0,0,0,0
"ANIMALIA",1998,"Vulnerable",944,2555,3573,0.470822942643392,0.369471624266145,0.264203750349846
"ANIMALIA",1998,"Endangered",253,2555,1219,0.126184538653367,0.0990215264187867,0.207547169811321
"ANIMALIA",1998,"Least Concern",0,2555,0,0,0,0
"ANIMALIA",1998,"Data Deficient",550,2555,828,0.27431421446384,0.215264187866928,0.664251207729469
"ANIMALIA",1998,"Extinct",235,2555,288,0.117206982543641,0.0919765166340509,0.815972222222222
"ANIMALIA",1998,"Extinct in the Wild",7,2555,16,0.00349127182044888,0.00273972602739726,0.4375
"ANIMALIA",1998,"Critically Endangered",254,2555,973,0.126683291770574,0.099412915851272,0.261048304213772
