"TaxonName","Year","Journal","NumPapers","PropEffortAllTaxa","PropEffortSpecificTaxa"
"Animal","AllYears","AllJournals",1850,0.576323987538941,0.713459313536444
"Animal","AllYears","Biological Conservation",672,0.766248574686431,0.682926829268293
"Animal","AllYears","Biodiversity and Conservation",477,0.580998781973203,0.484756097560976
"Animal","AllYears","Conservation Biology",589,0.793800539083558,0.598577235772358
"Animal","AllYears","Conservation Letters",112,0.73202614379085,0.434108527131783
"Animal","2000","AllJournals",106,0.69281045751634,0.527363184079602
"Animal","2001","AllJournals",126,0.732558139534884,0.626865671641791
"Animal","2002","AllJournals",115,0.688622754491018,0.572139303482587
"Animal","2003","AllJournals",133,0.738888888888889,0.661691542288557
"Animal","2004","AllJournals",111,0.656804733727811,0.552238805970149
"Animal","2005","AllJournals",131,0.704301075268817,0.648514851485149
"Animal","2006","AllJournals",124,0.729411764705882,0.616915422885572
"Animal","2007","AllJournals",118,0.670454545454545,0.587064676616915
"Animal","2008","AllJournals",131,0.757225433526012,0.651741293532338
"Animal","2009","AllJournals",101,0.677852348993289,0.505
"Animal","2010","AllJournals",104,0.742857142857143,0.522613065326633
"Animal","2011","AllJournals",111,0.725490196078431,0.557788944723618
"Animal","2012","AllJournals",117,0.704819277108434,0.582089552238806
"Animal","2013","AllJournals",94,0.671428571428571,0.467661691542289
"Animal","2014","AllJournals",113,0.753333333333333,0.562189054726368
"Animal","2015","AllJournals",115,0.771812080536913,0.577889447236181
"Animal","2000","Biological Conservation",37,0.672727272727273,0.552238805970149
"Animal","2001","Biological Conservation",48,0.761904761904762,0.716417910447761
"Animal","2002","Biological Conservation",44,0.733333333333333,0.656716417910448
"Animal","2003","Biological Conservation",52,0.825396825396825,0.776119402985075
"Animal","2004","Biological Conservation",47,0.758064516129032,0.701492537313433
"Animal","2005","Biological Conservation",51,0.761194029850746,0.75
"Animal","2006","Biological Conservation",49,0.830508474576271,0.73134328358209
"Animal","2007","Biological Conservation",52,0.8125,0.776119402985075
"Animal","2008","Biological Conservation",45,0.714285714285714,0.671641791044776
"Animal","2009","Biological Conservation",34,0.693877551020408,0.548387096774194
"Animal","2010","Biological Conservation",36,0.818181818181818,0.692307692307692
"Animal","2011","Biological Conservation",37,0.804347826086957,0.725490196078431
"Animal","2012","Biological Conservation",32,0.711111111111111,0.627450980392157
"Animal","2013","Biological Conservation",29,0.674418604651163,0.557692307692308
"Animal","2014","Biological Conservation",35,0.795454545454545,0.673076923076923
"Animal","2015","Biological Conservation",44,0.88,0.733333333333333
"Animal","2000","Biodiversity and Conservation",27,0.551020408163265,0.402985074626866
"Animal","2001","Biodiversity and Conservation",38,0.644067796610169,0.567164179104478
"Animal","2002","Biodiversity and Conservation",28,0.509090909090909,0.417910447761194
"Animal","2003","Biodiversity and Conservation",35,0.593220338983051,0.522388059701492
"Animal","2004","Biodiversity and Conservation",26,0.5,0.388059701492537
"Animal","2005","Biodiversity and Conservation",37,0.578125,0.552238805970149
"Animal","2006","Biodiversity and Conservation",36,0.610169491525424,0.537313432835821
"Animal","2007","Biodiversity and Conservation",29,0.508771929824561,0.432835820895522
"Animal","2008","Biodiversity and Conservation",40,0.677966101694915,0.597014925373134
"Animal","2009","Biodiversity and Conservation",35,0.648148148148148,0.564516129032258
"Animal","2010","Biodiversity and Conservation",24,0.631578947368421,0.461538461538462
"Animal","2011","Biodiversity and Conservation",22,0.511627906976744,0.431372549019608
"Animal","2012","Biodiversity and Conservation",24,0.545454545454545,0.470588235294118
"Animal","2013","Biodiversity and Conservation",23,0.575,0.442307692307692
"Animal","2014","Biodiversity and Conservation",23,0.575,0.433962264150943
"Animal","2015","Biodiversity and Conservation",30,0.612244897959184,0.5
"Animal","2000","Conservation Biology",42,0.857142857142857,0.626865671641791
"Animal","2001","Conservation Biology",40,0.8,0.597014925373134
"Animal","2002","Conservation Biology",43,0.826923076923077,0.641791044776119
