"TaxonName","Year","Journal","NumPapers","AllPapers","PropEffortAllTaxa","PropEffortSpecificTaxa"
"Animal","AllYears","AllJournals",1850,3210,0.576323987538941,0.7153905645785
"Animal","AllYears","Biological Conservation",672,984,0.682926829268293,0.766248574686431
"Animal","AllYears","Biodiversity and Conservation",477,984,0.484756097560976,0.585276073619632
"Animal","AllYears","Conservation Biology",589,984,0.598577235772358,0.794871794871795
"Animal","AllYears","Conservation Letters",112,258,0.434108527131783,0.73202614379085
"Animal","2000","AllJournals",106,201,0.527363184079602,0.697368421052632
"Animal","2001","AllJournals",126,201,0.626865671641791,0.736842105263158
"Animal","2002","AllJournals",115,201,0.572139303482587,0.688622754491018
"Animal","2003","AllJournals",133,201,0.661691542288557,0.743016759776536
"Animal","2004","AllJournals",111,201,0.552238805970149,0.656804733727811
"Animal","2005","AllJournals",131,202,0.648514851485149,0.708108108108108
"Animal","2006","AllJournals",124,201,0.616915422885572,0.729411764705882
"Animal","2007","AllJournals",118,201,0.587064676616915,0.670454545454545
"Animal","2008","AllJournals",131,201,0.651741293532338,0.761627906976744
"Animal","2009","AllJournals",101,200,0.505,0.677852348993289
"Animal","2010","AllJournals",104,199,0.522613065326633,0.742857142857143
"Animal","2011","AllJournals",111,199,0.557788944723618,0.730263157894737
"Animal","2012","AllJournals",117,201,0.582089552238806,0.704819277108434
"Animal","2013","AllJournals",94,201,0.467661691542289,0.671428571428571
"Animal","2014","AllJournals",113,201,0.562189054726368,0.758389261744966
"Animal","2015","AllJournals",115,199,0.577889447236181,0.771812080536913
"Animal","2000","Biological Conservation",37,67,0.552238805970149,0.672727272727273
"Animal","2001","Biological Conservation",48,67,0.716417910447761,0.761904761904762
"Animal","2002","Biological Conservation",44,67,0.656716417910448,0.733333333333333
"Animal","2003","Biological Conservation",52,67,0.776119402985075,0.825396825396825
"Animal","2004","Biological Conservation",47,67,0.701492537313433,0.758064516129032
"Animal","2005","Biological Conservation",51,68,0.75,0.761194029850746
"Animal","2006","Biological Conservation",49,67,0.73134328358209,0.830508474576271
"Animal","2007","Biological Conservation",52,67,0.776119402985075,0.8125
